City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Port Elizabeth,ZA,-33.918,25.5701,15.16,67,0,4.63,clear sky
111,Nago,JP,26.5881,127.9761,24.47,90,100,8.82,overcast clouds
112,Hovd,MN,48.0056,91.6419,8.73,36,16,0.68,few clouds
113,Strezhevoy,RU,60.7333,77.5889,15.99,71,91,4.42,overcast clouds
114,Kikwit,CD,-5.041,18.8162,23.21,50,100,1.07,overcast clouds
115,Fairbanks,US,64.8378,-147.7164,20.33,38,1,2.57,clear sky
116,Hermanus,ZA,-34.4187,19.2345,13.28,74,98,2.72,overcast clouds
117,Umm Lajj,SA,25.0213,37.2685,31.06,41,80,3.42,broken clouds
118,Cherskiy,RU,68.75,161.3,16.31,29,0,2.55,clear sky
119,Christchurch,NZ,-43.5333,172.6333,10.56,96,75,3.58,moderate rain
120,Evensk,RU,61.95,159.2333,5.9,68,100,1.57,overcast clouds
121,Port Shepstone,ZA,-30.7414,30.455,15.85,70,51,1.69,light rain
122,Ishigaki,JP,24.3448,124.1572,26.07,94,75,1.03,broken clouds
123,Kralendijk,BQ,12.15,-68.2667,28.99,70,75,8.23,broken clouds
124,Amga,RU,60.8953,131.9608,12.53,89,100,1.32,overcast clouds
125,Longyearbyen,SJ,78.2186,15.6401,1.91,75,90,1.54,overcast clouds
126,Sitka,US,57.0531,-135.33,13.94,62,90,3.09,overcast clouds
127,Atuona,PF,-9.8,-139.0333,26.41,64,6,3.96,clear sky
128,Hillsboro,US,45.5229,-122.9898,29.6,36,1,3.09,clear sky
129,Salalah,OM,17.0151,54.0924,28.05,89,40,3.6,scattered clouds
130,Erzin,TR,36.9559,36.2,20.56,84,1,0.58,clear sky
131,Sinnamary,GF,5.3833,-52.95,25.44,87,62,3.67,broken clouds
132,Tazovskiy,RU,67.4667,78.7,2.97,87,72,5.3,broken clouds
133,Rocha,UY,-34.4833,-54.3333,5.71,70,27,2.49,scattered clouds
134,Wahiawa,US,21.5028,-158.0236,27.86,59,40,2.06,scattered clouds
135,Imbituba,BR,-28.24,-48.6703,15.94,66,93,2.19,overcast clouds
136,Puerto Ayora,EC,-0.7393,-90.3518,24.19,85,19,2.68,few clouds
137,Grafton,US,42.207,-71.6856,9.1,89,90,0.89,overcast clouds
138,Itoman,JP,26.1247,127.6694,24.43,94,75,6.17,broken clouds
139,Sakaiminato,JP,35.55,133.2333,14.99,82,20,1.03,few clouds
140,Long Xuyen,VN,10.3833,105.4167,25.97,89,10,2.57,clear sky
141,Poso,ID,-1.3959,120.7524,25.74,83,79,1.46,broken clouds
142,Constitucion,CL,-35.3333,-72.4167,12.87,73,100,4.21,overcast clouds
143,Aklavik,CA,68.2191,-135.0107,10.4,50,99,5.7,overcast clouds
144,Olinda,BR,-8.0089,-34.8553,22.85,94,75,3.64,broken clouds
145,Ushtobe,KZ,45.2514,77.9838,16.57,26,16,3.06,few clouds
146,Danville,US,36.586,-79.395,19.68,71,1,1.54,clear sky
147,Silver City,US,32.7701,-108.2803,29.61,8,1,4.92,clear sky
148,Tura,IN,25.5198,90.2201,22.71,96,87,1.74,heavy intensity rain
149,Kondinskoye,RU,59.6481,67.41,10.69,87,83,5.76,broken clouds
150,Tezu,IN,27.9167,96.1667,24.25,71,89,0.75,overcast clouds
151,Puqi,CN,29.7167,113.8833,23.28,87,98,0.99,overcast clouds
152,Bichura,RU,50.5881,107.6022,4.31,59,78,1.77,light rain
153,Provideniya,RU,64.3833,-173.3,10.06,53,0,7.0,clear sky
154,Hospet,IN,15.2667,76.4,25.31,76,100,6.54,overcast clouds
155,Kruisfontein,ZA,-34.0033,24.7314,13.27,77,100,2.36,overcast clouds
156,Matara,LK,5.9485,80.5353,26.49,86,99,6.62,overcast clouds
157,Bilma,NE,18.6853,12.9164,32.05,10,43,2.22,scattered clouds
158,Moerai,PF,-22.4333,-151.3333,23.57,61,45,7.06,scattered clouds
159,Khatanga,RU,71.9667,102.5,5.05,88,82,2.95,broken clouds
160,Williams Lake,CA,52.1415,-122.1445,19.76,37,75,0.89,broken clouds
161,Laguna,US,38.421,-121.4238,38.45,26,1,1.34,clear sky
162,Kerman,IR,30.2832,57.0788,18.92,20,0,1.3,clear sky
163,Mnogovershinnyy,RU,53.9353,139.9242,7.98,70,97,0.96,overcast clouds
164,Ambilobe,MG,-13.2,49.05,20.76,89,3,1.6,clear sky
165,Mitsamiouli,KM,-11.3847,43.2844,25.79,78,7,4.48,light rain
166,Fortuna,US,40.5982,-124.1573,29.55,70,91,1.79,overcast clouds
167,Codrington,AU,-38.2667,141.9667,6.36,60,3,4.77,clear sky
168,Ribeira Grande,PT,38.5167,-28.7,17.83,85,77,3.35,broken clouds
169,Fuerte Olimpo,PY,-21.0415,-57.8738,19.23,84,100,3.4,light rain
170,Grindavik,IS,63.8424,-22.4338,7.97,87,40,7.02,scattered clouds
171,Rosendal,NO,59.9867,6.0135,12.51,81,12,0.72,few clouds
172,Ternate,ID,0.8,127.4,27.21,81,100,3.77,overcast clouds
173,Nanortalik,GL,60.1432,-45.2371,3.03,86,15,8.85,few clouds
174,Hornepayne,CA,49.2138,-84.7705,14.0,52,96,6.05,overcast clouds
175,Narsaq,GL,60.9167,-46.05,10.12,63,1,0.99,clear sky
176,Padang,ID,-0.9492,100.3543,24.15,95,98,2.11,overcast clouds
177,Cascais,PT,38.6979,-9.4215,19.17,69,5,0.89,clear sky
178,Nabire,ID,-3.3667,135.4833,25.82,91,98,0.84,overcast clouds
179,Victoria,HK,22.2855,114.1577,30.21,89,100,0.89,overcast clouds
180,Kukuna,SL,9.4,-12.6667,25.22,90,74,1.9,moderate rain
181,Nemuro,JP,43.3236,145.575,5.31,81,94,8.8,overcast clouds
182,Svetlyy,RU,54.675,20.1347,7.03,88,24,2.64,few clouds
183,Anadyr,RU,64.75,177.4833,13.28,44,0,3.01,clear sky
184,Watsa,CD,3.0372,29.5355,18.17,83,21,1.06,few clouds
185,Garissa,KE,-0.4536,39.6401,23.68,83,90,6.95,overcast clouds
186,Bratsk,RU,56.1325,101.6142,1.27,94,100,1.34,light rain
187,Cabo San Lucas,MX,22.8909,-109.9124,36.56,26,1,5.66,clear sky
188,San Quintin,MX,30.4833,-115.95,17.82,65,64,5.79,broken clouds
189,Roma,US,43.2128,-75.4557,12.08,85,90,0.0,overcast clouds
190,San Rafael Del Sur,NI,11.8485,-86.4384,33.54,43,51,6.33,broken clouds
191,Georgetown,MY,5.4112,100.3354,27.72,91,20,1.34,few clouds
192,Mezen,RU,65.8522,44.24,3.13,76,98,3.45,overcast clouds
193,Tiksi,RU,71.6872,128.8694,1.63,88,74,4.72,broken clouds
194,Qaqortoq,GL,60.7167,-46.0333,10.28,72,0,1.77,clear sky
195,Port Hedland,AU,-20.3167,118.5667,21.03,78,90,2.57,overcast clouds
196,Kahului,US,20.8947,-156.47,29.01,66,40,6.17,scattered clouds
197,Susehri,TR,40.1644,38.0867,13.79,79,1,1.41,clear sky
198,Hasaki,JP,35.7333,140.8333,20.66,65,26,5.62,scattered clouds
199,Kaitangata,NZ,-46.2817,169.8464,10.49,92,100,2.9,overcast clouds
200,Gao,ML,16.6362,1.637,33.36,9,3,3.86,clear sky
201,New Norfolk,AU,-42.7826,147.0587,4.86,87,48,1.23,scattered clouds
202,Oxapampa,PE,-10.5775,-75.4017,15.99,96,82,0.44,broken clouds
203,Kirakira,SB,-10.4544,161.9205,27.27,84,100,3.24,overcast clouds
204,Nome,US,64.5011,-165.4064,13.04,39,40,7.2,scattered clouds
205,Hamilton,US,39.1834,-84.5333,19.41,61,90,0.45,overcast clouds
206,Dauphin,CA,51.1494,-100.0502,13.08,58,90,2.06,overcast clouds
207,Teguldet,RU,57.3064,88.1667,5.48,62,75,1.93,broken clouds
208,Saldanha,ZA,-33.0117,17.9442,10.03,79,89,3.18,overcast clouds
209,Long Beach,US,33.767,-118.1892,30.41,69,1,3.13,clear sky
210,Tizimin,MX,21.15,-88.15,29.28,59,68,5.2,broken clouds
211,Vestmannaeyjar,IS,63.4427,-20.2734,7.39,80,47,6.11,scattered clouds
212,Hastings,GB,50.8552,0.5729,11.85,84,0,5.01,clear sky
213,Bom Jesus Do Galho,BR,-19.8289,-42.3161,20.6,81,94,1.75,overcast clouds
214,San Cristobal,VE,7.7669,-72.225,25.1,86,39,1.77,scattered clouds
215,Svarstad,NO,59.399,9.9698,15.15,40,67,0.95,broken clouds
216,Paamiut,GL,61.994,-49.6678,1.82,90,35,8.29,scattered clouds
217,Lebyazhye,RU,55.2689,66.4947,19.18,69,100,6.95,overcast clouds
218,Dubovskoye,RU,47.4092,42.7575,18.12,98,70,4.92,broken clouds
219,Huangpu,CN,25.4433,113.1747,23.73,98,99,0.29,overcast clouds
220,Chabahar,IR,25.2919,60.643,29.44,78,1,3.45,clear sky
221,Clyde River,CA,70.4692,-68.5914,-1.87,100,90,3.09,overcast clouds
222,Marinette,US,45.1,-87.6307,18.05,32,1,2.06,clear sky
223,Sao Felix Do Xingu,BR,-6.6447,-51.995,23.55,72,28,1.55,scattered clouds
224,Matamoros,MX,25.5333,-103.25,35.62,27,81,7.26,broken clouds
225,Saint George,US,37.1041,-113.5841,36.26,10,1,0.45,clear sky
226,Northam,GB,51.0333,-4.2167,14.61,78,7,2.47,clear sky
227,Arman,RU,59.7,150.1667,2.96,98,100,2.51,light rain
228,Dikson,RU,73.5069,80.5464,-1.0,98,100,2.0,snow
229,La Rioja,ES,42.25,-2.5,15.02,93,13,0.89,few clouds
230,Buala,SB,-8.145,159.5921,28.34,76,71,2.48,broken clouds
231,Suicheng,CN,33.8963,117.9331,25.93,65,61,1.1,broken clouds
232,Brae,GB,60.3964,-1.353,7.95,96,27,3.78,scattered clouds
233,Taoudenni,ML,22.6783,-3.9836,39.97,8,100,2.97,overcast clouds
234,Kloulklubed,PW,7.0419,134.2556,27.28,77,99,10.33,overcast clouds
235,Thompson,CA,55.7435,-97.8558,14.09,47,40,2.06,scattered clouds
236,Kiama,AU,-34.6833,150.8667,14.21,71,0,0.45,clear sky
237,Pasni,PK,25.2631,63.471,28.28,88,0,5.9,clear sky
238,Rock Sound,BS,24.9,-76.2,26.04,79,33,5.28,scattered clouds
239,Dukhovshchina,RU,55.1919,32.4111,4.71,78,100,2.46,overcast clouds
240,Severo-Kurilsk,RU,50.6789,156.125,3.88,97,100,9.42,moderate rain
241,Isangel,VU,-19.55,169.2667,25.06,73,75,3.94,broken clouds
242,Axim,GH,4.8699,-2.2405,26.11,87,91,3.26,moderate rain
243,Butembo,CD,0.15,29.2833,15.32,88,75,1.64,broken clouds
244,Husavik,IS,66.0449,-17.3389,11.95,62,89,7.87,overcast clouds
245,Sur,OM,22.5667,59.5289,32.58,39,86,5.8,overcast clouds
246,Port Augusta,AU,-32.5,137.7667,4.08,32,100,1.2,overcast clouds
247,Ilulissat,GL,69.2167,-51.1,3.01,75,20,5.66,few clouds
248,Port-Gentil,GA,-0.7193,8.7815,26.98,89,90,6.17,overcast clouds
249,Krasnyy Chikoy,RU,50.3643,108.7512,3.82,64,24,1.76,few clouds
250,Corral Nuevo,MX,18.1146,-95.1154,33.86,44,90,1.06,overcast clouds
251,Butaritari,KI,3.0707,172.7902,28.43,77,80,6.14,broken clouds
252,Ampanihy,MG,-24.7,44.75,17.25,90,3,2.22,clear sky
253,Alofi,NU,-19.0595,-169.9187,28.94,79,68,3.6,light rain
254,Coari,BR,-4.085,-63.1414,25.47,86,59,1.51,broken clouds
255,Jaque,PA,7.5175,-78.1703,26.76,82,34,1.21,light rain
256,Denizli,TR,37.8402,29.0698,17.47,57,77,1.71,broken clouds
257,Yongan,CN,39.6957,113.6871,16.09,50,98,2.47,overcast clouds
258,Roebourne,AU,-20.7833,117.1333,19.12,65,10,4.15,clear sky
259,Bethel,US,41.3712,-73.414,10.11,91,100,0.89,overcast clouds
260,Oranjemund,NA,-28.55,16.4333,12.81,92,0,3.7,clear sky
261,Vanimo,PG,-2.6741,141.3028,26.63,86,98,2.71,overcast clouds
262,Hobyo,SO,5.3505,48.5268,25.76,85,65,9.0,broken clouds
263,Baie-Comeau,CA,49.2168,-68.1489,15.0,58,1,4.49,clear sky
264,Atambua,ID,-9.1061,124.8925,23.04,81,100,1.44,overcast clouds
265,Rio Grande,BR,-32.035,-52.0986,7.06,60,0,3.98,clear sky
266,Staicele,LV,57.8364,24.75,7.43,76,12,2.28,few clouds
267,Skjervoy,NO,70.0311,20.9714,6.94,87,100,10.74,overcast clouds
268,Ormara,PK,25.2088,64.6357,28.53,85,0,8.54,clear sky
269,Talcahuano,CL,-36.7167,-73.1167,12.82,88,90,2.57,overcast clouds
270,Katsuura,JP,35.1333,140.3,20.69,68,7,6.52,clear sky
271,Bundaberg,AU,-24.85,152.35,20.12,54,0,2.24,clear sky
272,Tessalit,ML,20.1986,1.0114,34.06,9,97,1.69,overcast clouds
273,Novobeysugskaya,RU,45.472,39.8861,14.49,96,4,3.39,clear sky
274,Tevaitoa,PF,-16.7833,-151.5,26.37,73,78,7.18,broken clouds
275,Aljezur,PT,37.3191,-8.8033,15.62,91,71,2.35,broken clouds
276,Rehoboth,NA,-23.3167,17.0833,13.33,32,2,2.4,clear sky
277,Baykit,RU,61.67,96.37,4.6,80,41,0.79,scattered clouds
278,Channel-Port Aux Basques,CA,47.5702,-59.1367,8.28,73,100,0.69,overcast clouds
279,Kapuskasing,CA,49.4169,-82.4331,23.05,16,75,6.17,broken clouds
280,Naze,JP,28.3667,129.4833,22.51,83,98,7.59,light rain
281,Burns Lake,CA,54.2331,-125.7533,11.68,59,94,3.13,overcast clouds
282,Port Hawkesbury,CA,45.6169,-61.3485,11.16,82,90,2.68,overcast clouds
283,Purranque,CL,-40.9167,-73.1667,11.63,94,100,1.87,heavy intensity rain
284,Coos Bay,US,43.3665,-124.2179,31.03,66,1,7.2,clear sky
285,Aloleng,PH,16.1307,119.7824,28.55,80,37,1.67,scattered clouds
286,Areia Branca,BR,-4.9561,-37.1369,27.01,79,12,7.55,few clouds
287,Karratha,AU,-20.7377,116.8463,18.88,74,7,4.65,clear sky
288,Morehead,US,37.2711,-87.1764,21.84,40,1,2.57,clear sky
289,Milkovo,RU,54.7167,158.6167,8.77,73,99,2.14,overcast clouds
290,Sucua,EC,-2.4667,-78.1667,21.5,99,99,0.34,light rain
291,Faanui,PF,-16.4833,-151.75,26.69,73,99,6.94,overcast clouds
292,Iqaluit,CA,63.7506,-68.5145,3.85,80,90,2.68,overcast clouds
293,Pasinler,TR,39.9803,41.6764,7.55,73,2,0.63,clear sky
294,Srednekolymsk,RU,67.45,153.6833,17.7,26,10,5.13,clear sky
295,Hambantota,LK,6.1241,81.1185,26.64,79,100,8.66,overcast clouds
296,Kodiak,US,57.79,-152.4072,10.73,71,90,4.63,overcast clouds
297,Ahipara,NZ,-35.1667,173.1667,15.14,84,70,9.51,broken clouds
298,Alice,US,27.7523,-98.0697,29.85,61,1,8.13,clear sky
299,Lumberton,US,34.6182,-79.0086,21.17,64,98,3.37,overcast clouds
300,Urumqi,CN,43.801,87.6005,20.53,24,0,0.88,clear sky
301,Liku,ID,-0.7275,119.8922,25.58,87,96,1.35,overcast clouds
302,Gamba,GA,-2.65,10.0,24.51,91,91,3.49,overcast clouds
303,Esperance,AU,-33.8667,121.9,12.91,84,86,11.95,light rain
304,Saint-Georges,GD,12.0564,-61.7485,27.82,78,20,10.29,few clouds
