City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
127,Atuona,PF,26.41,clear sky,-9.8,-139.0333,Villa Enata
128,Hillsboro,US,29.6,clear sky,45.5229,-122.9898,Econo Lodge Inn & Suites Hillsboro - Portland West
129,Salalah,OM,28.05,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
131,Sinnamary,GF,25.44,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
134,Wahiawa,US,27.86,scattered clouds,21.5028,-158.0236,Aloha Wahiawa
140,Long Xuyen,VN,25.97,clear sky,10.3833,105.4167,Nhà Nghỉ Sài Gòn Ngày Đêm
141,Poso,ID,25.74,broken clouds,-1.3959,120.7524,Hotel 77 Poso
147,Silver City,US,29.61,clear sky,32.7701,-108.2803,Copper Manor Motel
154,Hospet,IN,25.31,overcast clouds,15.2667,76.4,Hotel Malligi
156,Matara,LK,26.49,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
165,Mitsamiouli,KM,25.79,light rain,-11.3847,43.2844,Foyer ADM
166,Fortuna,US,29.55,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
172,Ternate,ID,27.21,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
178,Nabire,ID,25.82,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
180,Kukuna,SL,25.22,moderate rain,9.4,-12.6667,
191,Georgetown,MY,27.72,few clouds,5.4112,100.3354,Cititel Penang
196,Kahului,US,29.01,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
203,Kirakira,SB,27.27,overcast clouds,-10.4544,161.9205,SanBiz Lodge
210,Tizimin,MX,29.28,broken clouds,21.15,-88.15,Hotel Don Arun
214,San Cristobal,VE,25.1,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
220,Chabahar,IR,29.44,clear sky,25.2919,60.643,هتل گدروشیا
230,Buala,SB,28.34,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
231,Suicheng,CN,25.93,broken clouds,33.8963,117.9331,Junyue Hotel
234,Kloulklubed,PW,27.28,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
237,Pasni,PK,28.28,clear sky,25.2631,63.471000000000004,Kashmiri Hotal
238,Rock Sound,BS,26.04,scattered clouds,24.9,-76.2,Rock Sound Club
241,Isangel,VU,25.06,broken clouds,-19.55,169.2667,Tanna Lodge
242,Axim,GH,26.11,moderate rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
248,Port-Gentil,GA,26.98,overcast clouds,-0.7193,8.7815,Fengshui Residence
251,Butaritari,KI,28.43,broken clouds,3.0707,172.7902,Isles Sunset Lodge
253,Alofi,NU,28.94,light rain,-19.0595,-169.9187,Taloa Heights
254,Coari,BR,25.47,broken clouds,-4.085,-63.1414,HOTEL ALEX FLAT
255,Jaque,PA,26.76,light rain,7.5175,-78.1703,Imbu Bua Lodge
261,Vanimo,PG,26.63,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
262,Hobyo,SO,25.76,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
268,Ormara,PK,28.53,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
274,Tevaitoa,PF,26.37,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
285,Aloleng,PH,28.55,scattered clouds,16.1307,119.7824,Agno Umbrella Rocks
286,Areia Branca,BR,27.01,few clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
291,Faanui,PF,26.69,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
295,Hambantota,LK,26.64,overcast clouds,6.1241,81.1185,Bungalow 63
298,Alice,US,29.85,clear sky,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
301,Liku,ID,25.58,overcast clouds,-0.7275,119.8922,Kost Raisa & homestay
304,Saint-Georges,GD,27.82,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
308,Elko,US,26.01,clear sky,41.0002,-115.5012,
309,Hit,IQ,29.06,broken clouds,33.6416,42.8251,صالون زيرو
311,San Patricio,US,29.99,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
323,Lorengau,PG,27.67,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
326,El Progreso,HN,29.71,broken clouds,15.4,-87.8,Hotel La Arboleda
327,Ahuimanu,US,29.88,broken clouds,21.4447,-157.8378,Paradise Bay Resort
333,Jalu,LY,28.6,clear sky,29.0331,21.5482,صاحبة الفخامة
338,Santander De Quilichao,CO,28.34,overcast clouds,3.0095,-76.4849,Hotel Los Samanes
340,Mushabani,IN,28.21,broken clouds,22.5167,86.45,"ZEE NEWS REPOTER,HOME"
341,Stephenville,US,25.19,broken clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
352,Semporna,MY,25.11,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
356,Tra Vinh,VN,25.85,clear sky,9.9347,106.3453,Hồng Ân
